Ax,Ay,Az,Gx,Gy,Gz,Label
-0.1459,0.185,1.1692,245.21,-120.12,71.47,A
-0.1523,0.2001,1.1004,68.25,-108.64,-14.42,A
-0.1835,0.2074,1.0014,2.94,9.45,2.73,A
-0.204,0.2157,0.9316,4.34,2.52,2.17,A
-0.2147,0.2284,0.8916,2.1,-2.03,-2.8,A
-0.2006,0.1801,0.9101,1.19,-4.2,-5.32,A
-0.1845,0.1396,0.9418,0.28,-3.99,-1.54,A
-0.1649,0.1503,1.0131,4.34,-0.56,3.64,A
-0.1771,0.1937,0.9784,-0.84,-0.98,6.23,A
-0.1859,0.225,1.0228,-3.01,-6.02,3.71,A
-0.1796,0.2186,1.0477,-0.42,3.43,2.45,A
-0.2196,0.2557,0.917,-3.92,0.77,-0.91,A
-0.2245,0.2191,0.8828,-6.09,-8.26,-4.06,A
-0.1859,0.1615,1.0048,-2.31,-5.88,-7.07,A
-0.1654,0.1078,1.0419,1.82,9.17,-3.15,A
-0.1996,0.1659,0.9443,-3.78,5.6,2.17,A
-0.1986,0.1659,0.9404,-2.94,-2.03,1.54,A
-0.1932,0.1693,1.0014,-3.78,-2.03,-17.22,A
-0.1986,0.1767,0.9389,-2.73,1.05,-2.94,A
-0.2006,0.1693,0.9116,-5.46,-4.83,-5.67,A
-0.1879,0.1347,0.8969,-6.02,-11.76,-4.76,A
-0.1371,0.1118,1.0658,0.49,-8.26,-1.26,A
-0.1498,0.1557,1.0463,-3.36,-0.07,0.21,A
-0.1591,0.1474,1.0077,-4.13,-2.87,-3.22,A
-0.1547,0.1166,1.0082,0.91,-0.77,-0.14,A
-0.1669,0.1552,1.0116,2.66,0.28,3.71,A
-0.1806,0.2045,0.9706,0.14,-1.4,2.52,A
-0.1747,0.1957,0.9643,-3.01,-5.39,-1.12,A
-0.1523,0.1864,1.0297,1.47,-9.03,-0.77,A
-0.1293,0.1781,1.1317,6.51,-3.29,-1.4,A
-0.1283,0.1806,1.1561,6.65,7.49,-2.66,A
-0.1347,0.184,1.1614,6.3,15.54,-3.29,A
-0.1518,0.1776,1.1151,2.52,27.58,-3.29,A
-0.1869,0.1635,0.9945,-6.23,28.21,-4.83,A
-0.2118,0.1571,0.913,-2.59,19.04,-4.2,A
-0.2181,0.1508,0.9091,1.12,11.13,-5.18,A
-0.2201,0.1459,0.913,0.14,3.99,-3.92,A
-0.2133,0.1532,0.9887,0.07,-0.14,-3.5,A
-0.2108,0.1381,1.0189,-2.66,8.54,-2.1,A
-0.2367,0.1635,0.9306,-8.68,7.91,-3.22,A
-0.2328,0.1703,0.9433,-2.59,0.0,-4.9,A
-0.1781,0.1444,1.0507,-1.05,1.96,-6.37,A
-0.2596,0.164,1.0526,-1.12,9.73,-2.52,A
-0.2772,0.1601,0.9204,-4.83,5.18,-13.16,A
-0.1542,0.021,0.9877,-15.4,2.1,-9.94,A
-0.222,0.101,0.9506,0.21,3.5,8.33,A
-0.2772,0.1186,0.9326,-12.6,-3.29,0.21,A
-0.2225,0.081,0.9882,-7.91,0.28,4.9,A
-0.2494,0.1171,0.9028,0.28,1.05,11.69,A
-0.2704,0.1552,0.9082,-3.71,-8.89,5.04,A
-0.2289,0.0932,0.9726,3.64,-15.75,4.41,A
-0.2079,0.1176,1.059,14.0,-11.41,13.58,A
-0.2455,0.2391,1.0258,6.93,-8.05,11.48,A
-0.2367,0.2518,1.039,1.96,-7.56,3.01,A
-0.2216,0.2274,1.0448,0.56,1.54,-1.61,A
-0.2352,0.1947,0.9687,-0.84,0.98,-5.46,A
-0.2259,0.1259,0.913,-1.4,-4.34,-3.64,A
-0.2181,0.1108,0.9404,2.17,-5.53,0.98,A
-0.2411,0.164,0.8872,1.26,-9.8,1.33,A
-0.2377,0.1308,0.8999,-5.88,-17.29,-2.17,A
-0.2294,0.1083,0.9004,-2.59,-20.86,-0.07,A
-0.2098,0.1078,0.9565,3.85,-26.53,2.8,A
-0.1884,0.1371,1.0941,7.28,-19.81,3.01,A
-0.1698,0.1366,1.1258,5.39,-4.9,-0.77,A
-0.1791,0.1318,1.0326,2.17,-3.92,-0.77,A
-0.1762,0.1015,1.0199,5.46,-9.03,-0.14,A
-0.1693,0.0878,1.0126,6.3,-9.66,2.59,A
-0.1625,0.0913,1.0487,9.73,-8.82,5.04,A
-0.1679,0.12,1.0594,14.35,-5.74,8.26,A
-0.1879,0.1645,1.0531,14.07,-3.08,7.21,A
-0.1942,0.1728,1.0453,10.64,0.77,3.5,A
-0.1986,0.1532,0.9926,6.58,1.68,1.75,A
-0.203,0.1449,0.9628,8.05,-3.71,3.57,A
-0.1942,0.1649,1.0658,10.22,-3.57,5.32,A
-0.1864,0.2206,1.1258,7.77,33.88,2.24,A
-0.2157,0.2142,0.9389,-13.65,19.25,-6.16,A
-0.2152,0.1039,0.9018,-15.61,6.58,-7.63,A
-0.1767,0.0024,0.9726,-1.47,8.54,2.52,A
-0.2123,0.1078,0.9194,6.3,8.75,14.21,A
-0.245,0.2284,0.9233,4.34,-1.05,10.85,A
-0.2406,0.1996,0.9374,-4.34,-7.98,2.73,A
-0.2298,0.1401,0.9638,-0.14,-8.47,2.1,A
-0.222,0.1723,1.0419,8.89,0.77,4.97,A
-0.242,0.2425,1.0043,1.96,2.94,-0.28,A
-0.2328,0.2064,1.0175,-2.87,0.77,-6.16,A
-0.2098,0.1283,1.0492,-0.28,7.63,-6.79,A
-0.2206,0.1064,0.9511,-0.84,8.19,-3.29,A
-0.2269,0.1147,0.9345,5.39,1.19,2.17,A
-0.2308,0.1386,0.9462,3.08,-3.15,4.34,A
-0.2377,0.1518,0.9248,-0.63,-6.51,1.19,A
-0.2094,0.1298,1.0238,3.43,-3.64,0.98,A
-0.2137,0.1464,1.0746,1.82,1.61,1.75,A
-0.2015,0.1586,1.1897,4.76,17.57,1.19,A
-0.2128,0.1649,1.1341,-4.06,35.84,-1.33,A
-0.2547,0.1898,0.9453,-12.04,33.32,-4.06,A
-0.2791,0.1776,0.8628,-12.67,19.04,-6.3,A
-0.2796,0.1532,0.8584,-12.67,8.05,-8.47,A
-0.2552,0.1215,0.9384,-12.04,5.18,-10.15,A
-0.2294,0.062,0.9867,-7.28,12.39,-6.3,A
-0.2386,0.0712,0.9692,-2.45,11.48,1.89,A
-0.2577,0.141,0.997,4.13,11.13,6.3,A
-0.2835,0.1928,0.9638,-1.61,9.8,0.49,A
-0.2957,0.1801,0.9052,-9.87,2.52,-5.88,A
-0.2733,0.0903,0.9033,-7.42,-4.41,-5.74,A
-0.2601,0.0722,0.9516,-1.26,-7.56,0.91,A
-0.2508,0.1488,1.057,6.58,-1.47,4.62,A
-0.2723,0.2181,1.0546,1.61,2.45,-0.28,A
-0.2821,0.2181,1.0297,-3.85,3.36,-10.57,A
-0.2718,0.1371,0.9999,-6.09,2.66,-17.15,A
-0.2562,0.0586,0.9975,-2.52,2.03,-14.56,A
-0.2411,0.0288,1.0512,3.5,8.47,-5.67,A
-0.2674,0.082,0.9745,1.33,8.4,-0.07,A
-0.2786,0.1093,0.9492,-0.49,2.03,0.14,A
-0.2806,0.1132,0.9423,-1.54,-0.28,-0.35,A
-0.2894,0.123,0.8745,-5.67,-6.51,-1.33,A
-0.2972,0.1181,0.8628,-5.11,-18.2,-1.26,A
-0.2723,0.1274,1.0287,2.31,-21.91,-1.05,A
-0.2513,0.1391,1.0707,-0.35,-5.67,-4.83,A
-0.2582,0.1298,1.0346,-6.65,-1.68,-8.12,A
-0.2352,0.0493,1.0604,-2.38,3.22,-3.71,A
-0.2591,0.0771,0.9823,1.19,6.3,3.29,A
-0.2967,0.163,0.9033,4.76,-5.95,2.1,A
-0.2904,0.1781,0.9301,4.13,-14.77,-3.15,A
