ax,ay,az,gx,gy,gz,label
-0.468,0.0454,0.8667,247.24,-120.54,71.26,A
0.5065,0.0429,1.6714,169.26,-427.91,134.12,A
0.2445,-0.1859,0.9067,-121.73,298.48,-76.09,A
-0.4616,0.0976,0.7027,47.88,-219.24,4.97,A
0.6808,0.141,2.3566,174.58,-178.78,-15.54,A
0.5187,0.448,1.423,61.6,17.08,-15.19,A
0.2118,0.2059,0.832,-92.26,293.37,-50.12,A
0.3528,0.0791,0.7515,62.65,-516.18,105.14,A
0.4387,0.1318,1.2908,42.0,-472.78,80.78,A
0.507,0.6461,1.2381,-75.53,217.0,-100.03,A
0.225,0.2874,1.1653,-5.39,-531.72,27.86,A
0.6608,0.1762,0.3538,18.76,-612.22,71.75,A
0.8247,0.347,0.978,70.21,-674.73,111.79,A
0.9067,0.1025,1.6943,99.75,-725.06,50.19,A
0.7759,0.3065,2.6118,99.82,-407.19,11.13,A
0.7305,0.1932,1.524,126.0,10.78,23.31,A
0.5119,0.3367,1.0858,171.43,57.19,36.26,A
0.6812,0.1669,0.6354,27.72,-734.65,25.2,A
0.8413,0.2596,1.5216,-63.98,-825.65,15.4,A
1.2468,-0.0098,2.4961,-22.05,-746.34,-30.66,A
1.422,-0.0956,3.1827,165.62,-289.45,14.14,A
1.0004,0.2996,2.5786,145.6,57.47,50.54,A
0.6603,0.4504,1.3845,56.98,164.08,-8.61,A
0.4987,0.2967,0.6812,35.49,128.52,-52.15,A
0.0859,0.0171,0.9443,-105.42,-115.01,-226.24,A
0.1401,-0.4768,1.1522,-73.43,-107.24,-185.5,A
0.4192,0.0312,0.1454,102.62,-710.85,129.71,A
0.8686,0.1103,0.6276,122.71,-772.17,164.92,A
0.9682,0.326,1.2366,101.99,-753.34,171.08,A
0.9018,0.5836,1.912,51.45,-779.87,168.07,A
0.5514,0.3109,0.995,151.06,54.18,1.96,A
0.0712,0.1513,0.5773,-120.26,427.07,-174.44,A
0.7066,0.0229,0.5998,113.68,-714.07,91.56,A
0.9199,0.4543,1.242,-61.11,-835.94,68.11,A
1.1248,0.3621,1.7617,-95.13,-842.17,16.94,A
1.2761,0.1571,2.2448,-45.36,-659.68,-10.99,A
0.8789,0.2499,1.2551,106.96,87.92,-56.28,A
0.9726,0.4734,1.8842,5.67,-553.7,180.88,A
-0.0059,0.0581,0.3987,-119.56,384.44,-204.33,A
-0.4685,-0.1342,0.8691,22.05,97.86,26.81,A
1.1273,0.6139,1.7309,109.83,-877.94,107.38,A
1.2293,0.8462,2.5835,-26.53,-681.24,85.82,A
1.1092,0.4665,2.887,-11.27,-374.43,25.97,A
0.9472,0.364,2.3404,57.61,-4.27,-26.04,A
0.7305,0.3128,1.4211,64.75,178.01,-86.45,A
0.5754,0.2347,0.8403,60.13,208.6,-101.22,A
-0.0459,0.2347,1.239,0.91,-104.58,-190.05,A
0.612,0.2572,0.3884,-10.78,-640.71,107.8,A
0.812,0.4329,1.0853,-71.19,-696.57,116.27,A
0.9628,0.6432,1.8534,-191.8,-775.39,82.32,A
1.1258,-0.5241,2.195,66.64,-444.43,17.64,A
0.6788,0.6115,1.9959,291.69,-10.57,70.14,A
0.5031,0.9018,1.5162,178.92,38.08,34.16,A
-0.1074,0.1288,0.4973,-69.51,301.7,-145.53,A
-0.7183,-0.0922,0.0712,-33.46,-9.1,97.51,A
0.6759,0.182,1.2376,-31.71,-628.88,12.67,A
0.8291,0.7178,2.5098,196.35,-260.96,39.13,A
0.6471,0.4392,1.7412,94.08,113.4,-36.33,A
0.1371,0.0473,1.4581,8.89,-150.22,-156.87,A
0.5431,0.4085,1.059,28.14,-490.84,123.27,A
0.9121,0.1884,1.831,122.15,-378.98,209.23,A
0.4158,1.0565,1.7612,204.05,-150.78,135.17,A
0.7867,0.7676,1.6524,138.32,-462.91,56.07,A
0.649,0.5436,0.9911,-32.9,236.32,-67.97,A
0.7218,0.06,0.5553,83.16,-610.33,243.39,A
0.7032,0.5871,0.8594,91.56,-627.2,169.61,A
0.6847,0.284,1.5743,20.02,-579.46,139.37,A
0.7974,0.1069,2.0789,173.88,-408.52,157.01,A
0.5841,0.6061,2.2346,321.44,-221.13,145.53,A
0.3348,1.2556,2.0164,146.09,-51.8,114.17,A
0.2357,1.0233,1.3815,65.8,6.72,60.06,A
0.3748,1.0302,1.7792,36.47,64.19,-48.79,A
0.4836,0.9443,1.2488,-192.57,344.75,-170.87,A
0.4402,0.5192,0.732,-176.33,318.5,-166.11,A
0.0781,0.3797,0.448,-142.59,421.96,-244.3,A
-0.1527,0.0625,-0.081,-156.59,319.55,-209.93,A
-0.6012,0.244,-0.5973,1.12,-221.76,124.32,A
0.1571,0.022,-0.3689,110.95,-579.32,50.19,A
0.4973,0.0639,0.3587,181.51,-667.66,85.75,A
0.6544,0.4826,0.9472,133.56,-643.3,81.2,A
0.4211,0.3001,0.7178,-113.68,342.93,-105.21,A
0.0669,0.0327,0.7115,-38.29,-150.5,-243.46,A
0.2152,-0.5324,1.3322,-4.97,-152.32,-198.1,A
0.4475,0.9487,1.3064,40.11,-365.54,151.83,A
0.2567,0.9204,1.4855,20.93,37.45,-83.09,A
0.2782,0.6856,0.9189,-82.25,273.42,-152.95,A
0.2001,0.5407,0.5671,65.45,-533.75,87.22,A
0.6603,0.1371,0.9155,80.85,-562.73,127.12,A
0.7281,0.6383,1.6807,96.53,-524.16,94.36,A
0.0078,0.1547,0.223,-141.12,323.05,-149.1,A
-0.0566,0.2664,0.7662,-50.47,-121.1,-175.28,A
0.0712,-0.183,0.956,-39.9,-126.77,-146.44,A
0.0381,0.1225,1.8095,92.19,-8.61,-4.62,A
-0.1025,0.1874,0.9082,-58.24,80.85,-22.05,A
0.447,0.1,0.4182,70.07,-497.84,160.72,A
0.6793,0.5183,1.645,135.87,-469.07,174.44,A
0.529,1.0594,1.8368,101.01,107.38,-52.64,A
0.2577,0.4768,0.7676,-103.39,415.45,-209.02,A
0.1191,0.1279,0.3802,-121.45,387.31,-229.18,A
0.3279,0.569,0.855,41.72,-540.47,92.96,A
0.3416,0.0054,0.9179,157.71,-552.23,119.7,A
0.6334,0.3841,1.4269,136.29,-493.01,160.3,A
-0.1074,-0.4543,-0.7061,-14.77,-402.36,124.39,A
0.3738,-0.4133,-0.5553,49.63,-582.68,173.6,A
1.1375,0.4602,0.895,144.48,-663.95,270.69,A
0.8794,0.9257,1.8173,17.64,-625.31,244.79,A
0.8208,0.7886,2.3107,-43.89,-605.78,223.72,A
0.1347,0.2289,0.7198,-214.27,404.6,-192.92,A
-0.0512,-0.1118,0.2372,-176.68,342.93,-177.8,A
-0.4948,0.1928,0.5988,48.44,182.28,-21.84,A
0.0278,-0.1615,-0.2352,159.25,-409.01,59.99,A
0.937,0.5827,0.5012,103.32,-740.81,128.31,A
1.2625,0.528,1.4952,136.99,-832.65,188.72,A
0.773,0.6593,2.235,226.73,-689.29,128.66,A
1.0282,1.1478,3.031,149.38,-436.52,29.26,A
0.7969,0.5851,1.8251,94.36,137.83,-83.79,A
0.6232,0.3845,0.9819,62.09,147.42,-76.51,A
0.51,0.3802,1.524,82.81,169.82,37.38,A
-0.0049,0.2025,0.873,-64.12,-100.24,-238.0,A
0.0976,-0.4504,1.0643,-44.45,-70.98,-211.61,A
-0.0634,-0.0781,1.0253,25.06,35.28,39.55,A
-0.4246,0.469,0.5876,-97.23,198.73,-75.6,A
-0.2181,-0.3182,-0.5266,9.24,-331.8,124.18,A
0.6466,0.1771,0.2147,76.09,-605.71,229.25,A
0.6739,0.4924,1.0248,22.19,-596.19,207.13,A
0.8608,0.3509,1.5474,-6.93,-600.11,217.84,A
0.8208,0.6525,2.198,204.68,-386.96,221.69,A
0.6256,1.3361,2.4673,129.5,-200.48,172.76,A
0.3953,1.3449,2.0086,79.24,-27.93,97.44,A
0.3411,1.1741,1.4703,71.68,60.41,3.99,A
0.2601,0.67,0.9516,-188.23,315.21,-154.84,A
-0.2391,0.6778,0.7579,-23.94,265.02,-74.48,A
-0.2938,-0.1035,-0.407,-29.47,-308.56,20.58,A
0.326,0.1401,0.0566,91.07,-555.87,104.3,A
0.426,0.4046,0.7569,106.89,-586.95,97.23,A
0.3982,0.0737,1.3015,99.05,-592.55,79.87,A
0.63,0.4826,2.1448,183.33,-512.96,150.85,A
0.4041,0.4446,1.3869,49.21,56.21,-3.22,A
-0.0878,0.6261,1.0282,-16.66,-87.22,-193.34,A
0.8306,0.1298,0.7452,33.04,-396.41,231.0,A
0.5524,0.9043,1.4152,210.91,-421.33,226.52,A
0.5446,1.0404,2.0247,114.52,-318.78,154.98,A
0.1181,0.203,-0.0078,103.18,-546.91,126.07,A
0.2264,0.4197,0.6803,93.66,-572.18,95.13,A
0.6598,0.4431,1.4825,64.89,-583.87,172.34,A
0.6027,0.7237,2.2287,69.16,-348.81,80.43,A
-0.2669,1.0917,1.1844,30.03,-215.81,-69.65,A
-0.0063,0.4011,1.0287,-76.09,-52.22,-201.46,A
-0.1108,0.6749,0.7115,-50.54,-8.68,-228.48,A
-0.1181,0.1035,0.5007,-67.9,17.22,-220.08,A
0.1503,-0.6852,0.7091,11.62,-253.61,158.13,A
0.0981,-0.0464,1.2156,55.23,-236.6,275.31,A
-0.039,0.7901,1.7397,32.83,-202.51,305.41,A
-0.1679,1.7202,2.0877,-2.45,-103.32,245.49,A
0.019,1.1322,1.6509,35.49,134.05,-131.32,A
0.0737,0.5261,1.1985,40.25,133.35,-123.9,A
