Ax,Ay,Az,Gx,Gy,Gz,Label
-0.0659,-0.3889,0.9726,-10.15,7.49,4.9,A
-0.0761,-0.3533,0.9784,-8.75,5.04,3.99,A
-0.0752,-0.3143,0.9892,-15.4,6.65,-1.89,A
-0.0737,-0.3601,1.0673,-22.75,3.5,-4.69,A
-0.0522,-0.3806,1.079,-29.61,16.1,-2.03,A
-0.0693,-0.4187,0.9726,-21.98,17.85,-3.01,A
-0.0703,-0.4402,0.9814,-18.48,17.36,-1.12,A
-0.0888,-0.4431,0.9643,-15.68,17.29,3.43,A
-0.1059,-0.3909,0.998,-16.38,19.53,5.81,A
-0.1118,-0.3723,1.0336,-20.3,23.17,1.61,A
-0.1113,-0.4494,1.0282,-27.93,28.35,0.7,A
-0.1249,-0.5124,0.9594,-23.1,25.9,4.2,A
-0.1288,-0.4817,0.9799,-21.35,29.26,9.8,A
-0.1547,-0.4358,0.9653,-14.21,27.65,9.8,A
-0.1606,-0.4431,0.8896,-8.33,22.68,5.11,A
-0.1542,-0.4812,0.9272,-5.81,12.53,1.54,A
-0.1391,-0.5314,1.0287,-8.33,11.97,4.69,A
-0.1386,-0.4817,1.0795,-13.02,20.51,7.98,A
-0.1435,-0.5285,1.0975,-23.45,29.05,8.19,A
-0.1435,-0.5905,1.0258,-32.97,38.15,16.45,A
-0.1635,-0.5373,0.8799,-25.83,38.5,24.85,A
-0.1893,-0.4699,0.875,-18.9,32.9,21.63,A
-0.2064,-0.4812,0.8872,-16.17,31.36,17.01,A
-0.2201,-0.4763,0.835,-9.59,28.63,13.93,A
-0.2313,-0.5529,0.8291,-3.15,16.17,11.55,A
-0.2284,-0.5402,0.8696,-4.69,13.09,16.66,A
-0.2289,-0.5002,0.9633,-10.08,11.9,15.82,A
-0.2176,-0.5568,1.0102,-22.19,25.76,17.85,A
-0.2264,-0.5588,0.854,-20.23,27.44,22.54,A
-0.223,-0.5339,0.8169,-19.32,23.45,26.32,A
-0.2313,-0.5144,0.7808,-17.15,20.23,28.07,A
-0.2377,-0.4597,0.7823,-7.84,17.01,24.71,A
-0.2372,-0.4353,0.7979,-7.0,16.24,20.58,A
-0.222,-0.4909,0.9257,-12.46,21.35,16.03,A
-0.2245,-0.4846,0.8891,-15.54,35.91,18.9,A
-0.2406,-0.4538,0.7462,-9.1,38.71,25.2,A
-0.2699,-0.4026,0.6354,0.7,21.28,24.71,A
-0.2811,-0.3504,0.6817,-0.7,9.31,16.38,A
-0.2786,-0.3655,0.6598,-2.17,3.85,8.47,A
-0.2664,-0.4182,0.6866,-3.08,-3.22,3.5,A
-0.2279,-0.4987,0.7764,-15.4,8.68,11.06,A
-0.2484,-0.4172,0.6481,-8.19,10.43,15.4,A
-0.2723,-0.3353,0.6359,-7.56,3.15,10.5,A
-0.2728,-0.2913,0.5285,-9.31,-3.85,-2.87,A
-0.2718,-0.3738,0.4592,-4.97,-26.6,-11.2,A
-0.2523,-0.3299,0.4885,-3.57,-36.47,-12.39,A
-0.2557,-0.2484,0.3611,4.83,-54.67,-24.92,A
-0.2479,-0.1708,0.2333,13.65,-85.05,-47.32,A
-0.1889,-0.1972,0.2367,18.97,-133.35,-74.97,A
-0.1005,-0.4085,0.6315,-8.4,-154.77,-87.99,A
-0.0239,-0.5353,0.5802,-21.42,-146.37,-73.22,A
0.0181,-0.5549,0.265,-3.78,-154.56,-64.68,A
0.0864,-0.5592,0.042,34.86,-205.94,-58.03,A
0.1718,-0.2723,0.0913,24.5,-284.13,-52.01,A
0.1449,-0.1415,0.5749,90.72,-319.27,-149.87,A
0.466,-0.1191,0.894,7.49,-332.08,-167.86,A
0.4953,-0.6788,0.8477,-23.38,-307.58,-150.01,A
0.6373,-0.834,0.9292,-12.53,-287.84,-116.34,A
0.6446,-0.7686,1.0838,26.18,-285.32,-77.21,A
0.8901,-1.381,1.9686,42.42,-277.41,-24.5,A
1.0292,-0.6276,2.6713,243.04,-178.29,-56.14,A
0.7056,-0.7266,2.4171,111.58,20.86,14.77,A
0.5871,-0.5915,1.7929,29.47,82.39,34.86,A
0.5793,-0.2738,1.4181,0.84,80.01,42.28,A
0.529,-0.2269,1.8266,-40.81,66.36,15.47,A
0.5661,-0.3255,1.7148,-86.94,139.02,13.16,A
0.5797,-0.5222,1.6216,-99.26,189.21,17.43,A
0.5534,-0.6686,1.1248,-106.47,228.41,54.53,A
0.4119,-0.5519,0.792,-53.76,158.34,73.43,A
0.3367,-0.5192,1.1546,-44.45,107.59,64.19,A
0.3416,-0.6715,1.6138,-59.01,143.85,70.56,A
0.367,-0.7662,1.7617,-105.14,215.32,105.42,A
0.4031,-0.6105,1.0082,-61.32,300.72,114.66,A
0.1713,-0.5632,0.8594,-15.61,242.97,84.63,A
0.1713,-0.7266,0.7813,-28.21,228.83,79.66,A
0.0673,-0.7569,0.9072,-8.61,182.14,101.08,A
0.039,-0.7471,0.8564,30.66,214.48,118.72,A
-0.0747,-0.5373,0.7823,51.59,192.36,107.8,A
-0.1244,-0.5451,0.8457,8.26,196.07,102.41,A
-0.2054,-0.4914,0.6183,20.72,178.01,98.63,A
-0.2625,-0.3826,0.8086,42.14,162.82,67.55,A
-0.2962,-0.2996,0.8135,-1.61,160.65,41.37,A
-0.3148,-0.3699,0.6398,-18.55,151.27,10.71,A
-0.3133,-0.5871,0.6764,-43.4,141.26,0.56,A
-0.327,-0.6012,0.527,-45.01,137.34,29.61,A
-0.3855,-0.5788,0.243,-15.96,107.87,51.31,A
-0.4231,-0.4348,0.2904,-3.57,70.42,51.8,A
-0.4582,-0.2601,0.2977,7.49,47.11,35.35,A
-0.4763,-0.2372,0.3963,19.53,25.34,8.33,A
-0.4631,-0.303,0.5061,16.87,19.25,-3.5,A
-0.4587,-0.2791,0.509,22.05,24.78,-5.32,A
-0.4734,-0.307,0.5202,23.03,23.73,-13.3,A
-0.4709,-0.3479,0.4485,23.59,16.94,-10.15,A
-0.4875,-0.2752,0.3304,41.79,-6.02,-13.3,A
-0.469,-0.1464,0.3963,54.11,-30.87,-27.65,A
-0.4621,-0.022,0.2596,77.21,-49.56,-52.99,A
-0.4143,0.1366,-0.1127,111.3,-93.38,-84.91,A
-0.3221,0.3099,-0.3357,150.5,-180.6,-122.64,A
-0.1357,0.4304,-0.1337,151.34,-288.54,-172.48,A
0.0595,0.4812,0.1649,106.26,-354.69,-230.44,A
0.364,0.2987,0.3792,43.26,-405.65,-300.51,A
0.5632,-0.0425,0.4592,-20.37,-434.49,-333.83,A
0.7793,-0.3675,0.6832,-69.93,-474.74,-325.08,A
0.9013,-0.7105,1.0219,-116.41,-492.8,-285.32,A
0.955,-1.281,1.2254,-93.8,-432.53,-250.67,A
1.0214,-1.8178,1.3093,-179.76,-311.36,-148.54,A
0.8843,-0.7032,1.8603,-134.47,-235.34,-219.59,A
0.7788,-2.2443,1.6231,34.51,-77.0,-7.0,A
0.6403,-0.8359,1.3908,-2.66,36.75,7.63,A
0.629,-0.6227,0.9618,91.07,134.26,19.11,A
0.5104,-0.5246,0.67,79.1,105.21,-6.3,A
0.5734,-0.55,0.733,128.94,42.63,18.41,A
0.4812,-0.5871,0.9374,143.71,46.76,17.78,A
0.4514,-0.4797,1.139,58.31,24.01,21.7,A
0.4426,-0.5109,1.3581,-58.87,22.89,24.43,A
0.4558,-0.611,1.4469,-145.39,42.7,31.01,A
0.5514,-0.8467,1.3361,-161.28,98.63,52.71,A
0.508,-1.2019,1.4606,-101.85,122.08,97.23,A
0.652,-1.0858,1.1771,-37.24,205.8,165.55,A
0.4987,-0.6285,0.8062,41.09,211.47,181.44,A
0.366,-0.4128,0.9706,44.94,148.4,151.97,A
0.3201,-0.3758,1.076,-6.58,162.82,127.54,A
0.2952,-0.6266,1.0931,-101.29,172.06,137.83,A
0.2289,-0.6593,0.4782,-27.72,149.24,112.77,A
0.0776,-0.5998,0.4358,20.86,105.49,116.06,A
0.0059,-0.4616,0.5236,4.76,50.61,88.27,A
-0.0264,-0.6276,0.9316,-17.92,36.33,69.23,A
-0.0015,-0.8696,0.6461,-31.71,75.39,77.91,A
-0.0644,-0.8789,0.3216,24.57,41.79,94.01,A
-0.0883,-0.6403,0.4455,40.74,7.35,100.03,A
-0.1196,-0.5622,0.6388,28.7,-10.85,91.35,A
-0.1074,-0.6525,0.5666,38.43,1.89,85.33,A
-0.1347,-0.6803,0.4787,57.82,-11.34,89.25,A
-0.1484,-0.6232,0.507,59.43,-34.65,91.49,A
-0.1527,-0.5597,0.6642,44.38,-49.91,101.78,A
-0.1586,-0.4358,0.7681,31.43,-51.31,109.27,A
-0.1801,-0.4177,0.8355,15.12,-45.92,100.38,A
-0.1757,-0.347,0.8096,4.48,-46.41,93.31,A
-0.182,-0.3504,0.9008,-6.58,-48.23,79.59,A
-0.1752,-0.3645,0.856,-12.67,-43.61,74.83,A
-0.1752,-0.3928,0.7613,-0.91,-51.38,70.21,A
-0.1684,-0.3094,0.8111,14.49,-68.25,65.52,A
-0.1601,-0.2362,1.0204,10.36,-70.91,43.75,A
-0.1127,-0.326,1.0448,-3.85,-50.19,30.24,A
-0.0786,-0.4534,0.915,29.61,-45.29,43.12,A
-0.0756,-0.3211,0.8374,7.98,-60.06,20.79,A
-0.041,-0.4109,0.9906,29.4,-57.68,25.76,A
0.0161,-0.4948,1.1917,15.68,-43.75,38.92,A
0.0322,-0.3699,1.0468,33.81,-26.67,55.02,A
0.0244,-0.164,1.0321,23.87,-30.45,42.56,A
-0.0034,0.0307,1.2356,6.79,-44.38,31.85,A
0.0234,0.2972,1.5694,-19.46,-24.5,2.66,A
0.0488,0.3982,1.5904,-39.76,14.7,-44.17,A
0.0976,0.4085,1.3864,-36.75,37.31,-78.68,A
0.0703,0.4914,1.1053,4.97,30.45,-132.16,A
0.1635,0.4163,1.22,-9.66,24.92,-155.68,A
0.2552,0.1225,1.0106,-27.51,42.91,-203.21,A
0.2333,-0.2923,0.9204,-11.41,21.0,-243.32,A
0.2611,-1.0756,1.0521,-31.64,51.38,-204.96,A
0.1259,-1.6143,1.0341,-15.54,73.57,-117.95,A
0.0576,-1.444,0.7886,31.99,96.81,-56.14,A
-0.019,-1.0185,0.4719,47.04,90.23,-33.6,A
-0.1303,-0.9453,0.2547,107.8,53.76,-70.77,A
-0.0781,-0.8989,0.3133,36.4,30.87,-60.48,A
-0.1083,-0.9443,0.265,33.32,0.63,-54.46,A
-0.1074,-0.9672,0.3328,57.68,-33.32,-49.28,A
-0.0673,-1.0204,0.6149,45.64,-56.21,-38.92,A
-0.0268,-0.997,0.8394,15.33,-55.3,8.33,A
-0.0444,-0.8345,0.8926,3.92,-56.63,46.06,A
-0.0571,-0.6061,1.1488,3.43,-53.34,60.48,A
0.0488,-0.3221,1.3947,-1.19,-9.59,73.64,A
-0.0361,-0.1015,0.9282,-34.23,-13.37,35.28,A
-0.0425,-0.2089,1.0131,-30.73,-17.99,8.75,A
-0.0034,-0.3733,1.12,-33.46,-19.95,6.72,A
0.0405,-0.5568,1.1683,-37.31,7.56,33.18,A
0.0117,-0.4446,1.0224,-33.04,11.97,46.69,A
0.0073,-0.327,0.9516,-33.88,2.17,41.65,A
-0.0005,-0.3811,0.9882,-14.84,-7.56,25.27,A
-0.0039,-0.3958,1.0585,-36.61,2.73,18.48,A
-0.0278,-0.4202,0.9257,-45.29,1.96,21.56,A
-0.0312,-0.5075,0.8442,-5.11,4.13,13.3,A
-0.0844,-0.3152,0.6544,-39.48,-15.68,-7.77,A
-0.0498,-0.4333,0.852,7.21,-19.46,-36.47,A
-0.0088,-0.5866,1.018,9.31,3.78,-23.87,A
-0.0259,-0.7403,0.9643,4.83,8.96,-3.08,A
-0.0229,-0.6944,0.8633,20.44,19.32,14.91,A
-0.0434,-0.5187,0.8218,28.56,16.59,16.66,A
-0.0551,-0.4255,0.7725,17.5,7.21,6.72,A
-0.0537,-0.4695,0.7178,11.9,-1.19,-3.92,A
-0.0434,-0.5524,0.8652,7.7,-10.43,-2.73,A
-0.0371,-0.5231,0.9008,3.08,-1.54,8.12,A
-0.041,-0.5031,0.9389,-2.66,5.81,9.94,A
-0.04,-0.5417,1.0004,-15.54,13.16,13.72,A
-0.0386,-0.5392,0.8911,-14.49,18.97,19.74,A
-0.0576,-0.5353,0.7491,-4.13,2.03,17.43,A
-0.0615,-0.529,0.8789,-0.84,-15.26,15.75,A
-0.0542,-0.5319,1.0951,-10.78,-8.61,19.32,A
-0.0654,-0.5197,1.078,-17.08,12.11,22.75,A
-0.0786,-0.4773,0.9404,-15.26,16.59,19.81,A
-0.0878,-0.4616,0.8847,-13.02,9.52,11.55,A
-0.0927,-0.5065,0.9199,-10.29,0.84,2.66,A
-0.0874,-0.5363,0.9418,-5.53,-1.33,-3.5,A
-0.081,-0.5544,0.9594,-5.53,0.07,-7.7,A
-0.0776,-0.608,0.8965,-0.91,0.63,-7.77,A
-0.0859,-0.6471,0.8603,10.64,-6.09,-3.85,A
-0.0712,-0.6886,1.0536,6.23,-1.96,2.03,A
-0.061,-0.6622,1.0438,3.85,17.5,23.87,A
-0.0898,-0.5592,0.9145,8.61,22.89,26.25,A
-0.1069,-0.4773,0.8564,4.41,13.16,21.14,A
-0.1122,-0.4656,0.8438,-1.05,5.46,12.81,A
