ax,ay,az,gx,gy,gz
0.0883,0.4592,0.9911,240.03,-104.3,53.55
0.9457,0.8555,1.1141,79.59,295.26,-129.85
0.6002,0.283,1.1278,53.9,87.78,56.77
0.5778,0.4675,0.7032,-26.18,294.21,103.11
0.4441,0.5998,0.7393,28.14,-117.6,-345.52
0.508,0.124,1.2058,58.87,-132.65,-362.39
0.5388,-0.2791,1.6309,108.99,-109.9,-336.49
0.3045,-0.1537,1.2273,118.09,21.63,12.6
0.733,0.081,0.5197,59.08,-412.23,271.32
0.9897,0.5592,1.018,-1.75,-409.57,273.91
0.7876,0.6359,1.9666,53.34,-297.64,181.3
-0.7652,-0.4109,-0.5905,22.12,-103.88,-28.35
-0.0888,-0.1205,0.0112,109.76,-296.8,145.25
-0.0137,0.3709,-0.1196,71.89,-281.96,133.91
0.9716,0.3113,-0.2259,42.63,-517.72,100.38
1.179,0.4778,0.3665,67.2,-595.35,112.77
1.1356,0.67,2.1696,239.61,-617.33,43.89
0.8755,1.2093,3.334,179.55,-343.7,42.63
0.7354,0.8506,2.1204,71.96,115.36,-7.77
0.5553,1.0302,1.6856,-52.85,148.4,-132.02
1.0526,0.2186,1.1458,-106.05,111.23,-22.96
0.7213,0.9955,0.6334,144.62,-86.66,-460.25
0.9204,0.1542,0.8755,185.57,-91.28,-413.84
0.3138,0.0063,1.2971,-58.59,17.92,81.34
0.141,0.4875,0.935,-63.07,12.18,111.79
1.402,-0.1039,0.9243,31.92,-461.23,303.8
1.2273,0.5392,1.3967,104.23,-441.14,312.13
1.0453,1.0072,1.9037,69.44,-346.99,266.91
0.591,1.1922,1.4362,83.72,130.97,-128.94
1.2634,1.2244,1.1668,-28.07,74.48,-74.27
0.5344,0.9887,1.0995,-101.08,204.4,-118.86
-0.6939,0.7784,1.4128,198.87,203.07,-382.06
1.2395,-0.3865,1.4191,-136.71,239.68,15.12
0.8389,-0.1371,0.9321,-37.17,270.69,58.94
0.6388,-0.2303,1.1253,158.55,-101.99,-282.8
0.122,0.6163,0.8613,-76.93,38.22,106.12
0.6261,0.2835,1.1204,148.75,-271.95,249.13
0.8969,0.7135,1.7314,16.8,-395.5,150.08
0.6944,0.8691,2.4639,131.81,-341.81,114.24
1.2166,1.0643,1.5518,-122.5,-0.77,8.33
0.3782,0.7647,1.4172,-117.95,172.2,-53.34
0.2289,0.3006,0.0473,45.99,-497.56,132.65
0.3265,0.4875,1.3098,96.18,-425.32,44.45
0.4636,0.4553,1.5143,117.04,-299.18,47.11
0.5339,0.7896,2.644,94.85,-169.05,66.78
0.4641,1.0673,2.2009,26.74,140.0,-36.05
0.1776,1.0185,0.9858,13.16,323.26,-225.96
0.5358,0.4021,0.8296,-59.64,269.99,-85.33
0.3377,0.8057,0.9745,170.38,-80.92,-334.04
0.3723,0.3299,1.1766,173.32,-55.23,-323.19
-0.1176,0.7379,0.9936,-86.1,165.9,-107.17
-0.1596,0.2284,1.0882,24.15,-152.39,182.63
0.7945,0.2494,1.1131,87.43,-394.52,206.85
0.7257,0.5714,1.5933,101.85,-296.17,192.43
-0.3582,1.9808,2.7714,-362.88,10.99,-107.1
0.0478,0.8735,2.1111,-223.72,-214.06,-35.56
0.3777,0.4382,2.2375,37.24,43.26,9.38
0.2108,1.1536,1.8524,132.79,111.44,-7.21
-0.0727,1.3562,1.0785,169.47,151.55,-20.93
0.6076,0.2718,-0.1362,9.24,-533.47,179.48
0.7871,0.6529,0.3953,13.65,-586.88,183.54
0.774,0.792,0.9521,19.04,-512.33,98.91
1.0663,0.2494,2.0642,86.17,-291.41,-46.62
1.1234,0.0815,2.6503,111.72,-252.35,-35.14
1.2039,1.1322,2.865,136.92,-96.53,-63.28
1.5777,2.0828,2.7147,111.02,-223.58,-199.57
1.3908,0.1708,2.1492,-168.21,209.44,-7.07
1.3176,-0.3475,1.6319,-62.37,323.05,39.48
0.8135,1.0131,0.793,104.58,254.38,176.68
0.3538,-0.2201,0.5319,115.15,-295.26,267.26
0.853,0.8677,2.6337,87.85,-303.73,113.4
0.9243,2.9773,2.4595,28.21,155.33,-70.35
